ลําดับ,วันที่ตอบรับสมาชิก,รหัสสมาชิก,ชื่อสถานศึกษา,สังกัด,ตําบล/แขวง,อําเภอ /เขต,จังหวัด,รหัสไปรษณีย์
1,ปี 2542,7-50000-001,โรงเรียนกาวิละวิทยาลัย,สํานักงานเขตพื้นที่การศึกษามัธยมศึกษาเชียงใหม่,ตําบลท่าศาลา,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
2,ปี 2562,7-50000-002,โรงเรียนอนุบาลหนองป่าครั่ง,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลหนองป่าครั่ง,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
3,ปี 2544,7-50000-003,โรงเรียนดาราวิทยาลัย,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลวัดเกต,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
4,ปี 2563,7-50000-004,โรงเรียนปรินส์รอแยลส์วิทยาลัย,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลวัดเกต,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
5,ปี 2563,7-50000-005,โรงเรียนกาวิละอนุกูล,สํานักบริหารงานการศึกษาพิเศษ,ตําบลวัดเกต,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
6,ปี 2568,7-50000-006,โรงเรียนจิตราวิทยา,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลวัดเกต,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
7,ปี 2568,7-50000-007,โรงเรียนพิงค์รัตน์,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลวัดเกตุ,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
8,ปี 2568,7-50000-008,โรงเรียนอนุบาลร่มเย็น,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลท่าศาลา,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
9,ปี 2568,7-50000-009,โรงเรียนสิริอันดา,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลหนองป่าครั่ง,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
10,ปี 2568,7-50000-010,โรงเรียนอนุบาลศรีชัยวัลย์,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลท่าศาลา,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
11,ปี 2568,7-50000-011,โรงเรียนท่าศาลา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลท่าศาลา,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
12,ปี 2568,7-50000-012,โรงเรียนขาลสุวรรณอนุสรณ์,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลวัดเกตุ,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
13,ปี 2568,7-50000-013,โรงเรียนวัดเมืองสาตร,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลหนองหอย,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
14,ปี 2568,7-50000-014,โรงเรียนวัดดอนจั่น,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลท่าศาลา,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
15,ปี 2568,7-50000-015,โรงเรียนวัดขะจาว,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลฟ้าฮ่าม,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
16,ปี 2568,7-50000-016,โรงเรียนวัดหนองป่าครั่ง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลหนองป่าครั่ง,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
17,ปี 2568,7-50000-017,โรงเรียนอนุบาลหนองป่าครั่ง 2,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลหนองป่าครั่ง,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
18,ปี 2568,7-50000-018,โรงเรียนวัดเสาหิน,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลหนองหอย,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
19,ปี 2568,7-50000-019,โรงเรียนสารสาสน์วิเทศเชียงใหม่,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลท่าศาลา,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
20,ปี 2544,7-50100-001,โรงเรียนวัฒโนทัยพายัพ,สํานักงานเขตพื้นที่การศึกษามัธยมศึกษาเชียงใหม่,ตําบลหายยา,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
21,ปี 2568,7-50100-002,โรงเรียนอนุบาลไชยโรจน์สิริล,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลหายยา,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
22,ปี 2568,7-50100-003,โรงเรียนอนุบาลมยุรี,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลแม่เหียะ,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
23,ปี 2568,7-50100-004,โรงเรียนอนุบาลสวนเด็กเชียงใหม่,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลช้างคลาน,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
24,ปี 2568,7-50100-005,โรงเรียนวิชัยวิทยา,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลช้างคลาน,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
25,ปี 2568,7-50100-006,โรงเรียนมงฟอร์ตวิทยาลัย แผนกประถม,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลช้างคลาน,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
