"รายชื่อสถานศึกษา ""สวนพฤกษศาสตร์โรงเรียน"" จังหวัดเชียงใหม่",,,,,,,,
จํานวน ๖๘๕ แห่ง ข้อมูล ณ วันที่ ๒๐ มีนาคม ๒๕๖๙,,,,,,,,
ลําดับ,วันที่ตอบรับสมาชิก,รหัสสมาชิก,ชื่อสถานศึกษา,สังกัด,ตําบล/แขวง,อําเภอ /เขต,จังหวัด,รหัสไปรษณีย
1,29 มีนาคม 2542,7-50000-001,โรงเรียนกาวิละวิทยาลัย,สํานักงานเขตพื้นที่การศึกษา มัธยมศึกษาเชียงใหม่,ตําบลท่าศาลา- หนองหอย,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
2,4 มิถุนายน 2562,7-50000-002,โรงเรียนอนุบาลหนองป่าครั่ง,เทศบาลตําบลหนองป่าครั่ง,ตําบลหนองป่าครั่ง,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
3,10 สิงหาคม 2544,7-50000-003,โรงเรียนดาราวิทยาลัย,สํานักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลวัดเกต,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
4,20 เมษายน 2563,7-50000-004,โรงเรียนปรินส์รอแยลส์วิทยาลัย,สํานักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลวัดเกต,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
5,20 พฤศจิกายน 2563,7-50000-005,โรงเรียนกาวิละอนุกูล,สํานักบริหารงานการศึกษา พิเศษ,ตําบลวัดเกต,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
6,21 กรกฎาคม 2568,7-50000-006,โรงเรียนจิตราวิทยา,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลวัดเกต,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
7,21 กรกฎาคม 2568,7-50000-007,โรงเรียนพิงค์รัตน์,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลวัดเกตุ,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
8,21 กรกฎาคม 2568,7-50000-008,โรงเรียนอนุบาลร่มเย็น,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลท่าศาลา,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
9,21 กรกฎาคม 2568,7-50000-009,โรงเรียนสิริอันดา,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลหนองป่าครั่ง,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
10,21 กรกฎาคม 2568,7-50000-010,โรงเรียนอนุบาลศรีชัยวัลย์,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลท่าศาลา,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
11,21 กรกฎาคม 2568,7-50000-011,โรงเรียนท่าศาลา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลท่าศาลา,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
12,20 สิงหาคม 2568,7-50000-012,โรงเรียนขาลสุวรรณอนุสรณ์,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลวัดเกตุ,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
13,20 ตุลาคม 2568,7-50000-013,โรงเรียนวัดเมืองสาตร,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลหนองหอย,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
14,20 ตุลาคม 2568,7-50000-014,โรงเรียนวัดดอนจั่น,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลท่าศาลา,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
15,20 ตุลาคม 2568,7-50000-015,โรงเรียนวัดขะจาว,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลฟาฮาม,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
16,20 ตุลาคม 2568,7-50000-016,โรงเรียนวัดหนองป่าครั่ง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลหนองป่าครั่ง,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
17,20 พฤศจิกายน 2568,7-50000-017,โรงเรียนอนุบาลหนองป่าครั่ง 2,เทศบาลตําบลหนองป่าครั่ง,ตําบลหนองป่าครั่ง,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
18,11 ธันวาคม 2568,7-50000-018,โรงเรียนวัดเสาหิน,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลหนองหอย,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
19,19 ธันวาคม 2568,7-50000-019,โรงเรียนสารสาสน์วิเทศเชียงใหม่,สํานักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลท่าศาลา,อําเภอเมืองเชียงใหม่,เชียงใหม่,50000
20,23 กรกฎาคม 2544,7-50100-001,โรงเรียนวัฒโนทัยพายัพ,สํานักงานเขตพื้นที่การศึกษา มัธยมศึกษาเชียงใหม่,ตําบลหายยา,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
21,21 กรกฎาคม 2568,7-50100-002,โรงเรียนอนุบาลไชยโรจน์สิริล,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลหายยา,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
22,21 กรกฎาคม 2568,7-50100-003,โรงเรียนอนุบาลมยุรี,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลแม่เหียะ,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
23,21 กรกฎาคม 2568,7-50100-004,โรงเรียนอนุบาลสวนเด็กเชียงใหม่,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลช้างคลาน,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
24,21 กรกฎาคม 2568,7-50100-005,โรงเรียนวิชัยวิทยา,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลช้างคลาน,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
25,21 กรกฎาคม 2568,7-50100-006,โรงเรียนมงฟอร์ตวิทยาลัย แผนกประถม,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลช้างคลาน,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
26,21 กรกฎาคม 2568,7-50100-007,โรงเรียนเรยีนาเชลีวิทยาลัย,สํานักงานคณะกรรมการบริหารการศึกษาเอกชน,ตําบลช้างคลาน,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
27,21 กรกฎาคม 2568,7-50100-008,โรงเรียนเทศบาลวัดศรีปิงเมือง,เทศบาลนครเชียงใหม่,ตําบลช้างคลาน,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
28,21 กรกฎาคม 2568,7-50100-009,โรงเรียนเทศบาลวัดศรีดอนไชย,เทศบาลนครเชียงใหม่,ตําบลช้างคลาน,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
29,21 กรกฎาคม 2568,7-50100-010,โรงเรียนอนุบาลเทศบาลตําบลป่าแดด,เทศบาลตําบลป่าแดด,ตําบลปาแดด,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
30,21 กรกฎาคม 2568,7-50100-011,วิทยาลัยอาชีวศึกษาจันทร์ระวี,สํานักงานคณะกรรมการการอาชีวศึกษา,ตําบลแม่เหียะ,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
31,21 กรกฎาคม 2568,7-50100-012,วิทยาลัยเทคโนโลยีเมโทร,สํานักงานคณะกรรมการการอาชีวศึกษา,ตําบลช้างคลาน,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
32,21 กรกฎาคม 2568,7-50100-013,วิทยาลัยเทคโนโลยีพาณิชยการเชียงใหม่,สํานักงานคณะกรรมการการอาชีวศึกษา,ตําบลช้างคลาน,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
33,20 ตุลาคม 2568,7-50100-014,โรงเรียนวัดป่าแดด,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลป่าแดด,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
34,20 ตุลาคม 2568,7-50100-015,โรงเรียนบ้านแม่เหียะสามัคคี,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลแม่เหียะ,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
35,20 พฤศจิกายน 2568,7-50100-016,โรงเรียนอนุบาลเทศบาลเมืองแม่เหียะ,เทศบาลเมืองแม่เหียะ,ตําบลแม่เหียะ,อําเภอเมืองเชียงใหม่,เชียงใหม่,50100
